arxiv,date,title,authors,categories,comments,report_no,journal_ref,doi,abstract,link,label
arXiv:2401.15141 ," Fri, 26 Jan 2024 19:00:00 GMT  (37kb) ", Searching for strongly coupled AdS matter with multi-trace deformations ," Luis Apolo, Alexandre Belin, Suzanne Bintanja ", hep-th , 21 pages + Appendix ,NA,NA,NA,"   Holographic CFTs admit a dual emergent description in terms of semiclassical general relativity minimally coupled to matter fields. While the gravitational interactions are required to be suppressed by the Planck scale, the matter sector is allowed to interact strongly at the AdS scale. From the perspective of the dual CFT, this requires breaking large-N factorization in certain sectors of the theory. Exactly marginal multi-trace deformations are capable of achieving this while still preserving a consistent large-N limit. We probe the effect of these deformations on the bulk theory by computing the relevant four-point functions in conformal perturbation theory. We find a simple answer in terms of a finite sum of conformal blocks, indicating that the correlators display no bulk-point singularities. This implies that the matter of the bulk theory is made strongly coupled by boundary terms rather than local bulk interactions. Our results suggest that holographic CFTs that describe strongly coupled AdS matter cannot be continuously connected to conventional holographic CFTs where all correlators factorize in the large-N limit. ",https://arxiv.org/abs/2401.15141,0
arXiv:2401.15243 ," Fri, 26 Jan 2024 23:23:59 GMT  (12kb) ", A New Braneworld with Conformal Symmetry Breaking ," G. Alencar, I. C. Jardim, R. I. de Oliveira Junior, M. Gogberashvili  and R. N. Costa Filho ", hep-th gr-qc ,NA,NA,NA,NA,"   We explore the conformal 5D braneworld, where warping emerges through conformal symmetry breaking. Our scenario seamlessly aligns with conventional brane approaches if conformal symmetry remains unbroken. It is shown that a model with a single conformal breaking parameter effectively localizes gravity on the brane, but it falls short in trapping gauge bosons. However, in scenarios with two parameters, gravity is localized, and the model also achieves the localization of zero modes for both gauge and Dirac fields. ",https://arxiv.org/abs/2401.15243,-1
arXiv:2401.15336 ," Sat, 27 Jan 2024 07:59:00 GMT  (116kb,D) ", Aspects of critical O$(N)$ model with boundary and defect , Yoshitaka Okuyama , hep-th cond-mat.stat-mech cond-mat.str-el ," Dissertation submitted to Department of Physics, University of Tokyo  (Dec. 2023). 142 pages, 9 figures. Based on arXiv:2212.04076 and  arXiv:2212.04078 ",NA,NA,NA,"   In this thesis, we explore the critical phenomena in the presence of extended objects, which we call defects, aiming for a better understanding of the properties of non-local objects ubiquitous in our world and a more practical and realistic study of criticality. To this end, we study the statistical O$(N)$ vector model in $(4-\epsilon)$ dimensions with three kinds of defects: a line defect constructed by smearing an O$(N)$ vector field along one direction and Dirichlet and Neumann boundaries. A conventional approach to critical phenomena would be to perform perturbative calculations using Feynman diagrams and doing renormalization group analysis. But we here also take a different but complementary approach based on three axioms that include conformal symmetry of the theory at the criticality. We apply this axiomatic framework to the critical O$(N)$ model with a defect and reproduce the perturbative results at the leading non-trivial order in $\epsilon$, substantiating the validity of our approach. Along the way, we develop and refine the axiomatic framework to derive anomalous dimensions of the composite operators on the defect that have not been accessible in the existing literature by focusing on the analyticity of the correlation functions. ",https://arxiv.org/abs/2401.15336,0
arXiv:2401.15404 ," Sat, 27 Jan 2024 13:23:44 GMT  (316kb,D) "," Relativistic single-electron wavepacket in quantum electromagnetic  fields: Quantum coherence, correlations, and the Unruh effect ", Shih-Yuin Lin and B. L. Hu , hep-th gr-qc quant-ph ," 51 pages, 3 figures ",NA,NA,NA,"   Conventional formulation of QED since the 50s works very well for stationary states and for scattering problems, but with newly arisen challenges from the 80s on, where real time evolution of particles in a nonequilibrium setting are required, and quantum features such as coherence, dissipation, correlation and entanglement in a system interacting with its quantum field environment are sought after, new ways to formulate QED suitable for these purposes beckon. In this paper we present a linearized effective theory using a Gaussian wavepacket description of a charged relativistic particle coupled to quantum electromagnetic fields to study the interplay between single electrons and quantum fields in free space, at a scale well below the Schwinger limit. The proper values of the regulators in our effective theory are determined from the data of individual experiments, and will be time-dependent in the laboratory frame if the single electrons are accelerated. Using this new theoretical tool, we address the issues of decoherence of flying electrons in free space and the impact of Unruh effect on the electrons. Our result suggests that vacuum fluctuations may be a major source of blurring the interference pattern in electron microscopes. For a single electron accelerated in a uniform electric field, we identify the Unruh effect in the two-point correlators of the deviations from the electron's classical trajectory. From our calculations we also bring out some subtleties, involving the bosonic versus fermionic spectral functions. ",https://arxiv.org/abs/2401.15404,0
arXiv:2401.15574 ," Sun, 28 Jan 2024 06:07:11 GMT  (48kb,D) ", Classical Observables using Exponentiated Spin factors: Electromagnetic  Scattering ," Samim Akhtar, Arkajyoti Manna and Akavoor Manu ", hep-th gr-qc ," 33 pages, 4 figures ",NA,NA,NA,"   In [arXiv:1906.10100], the authors argued that the Newman-Janis symmetry on the space of classical solutions in general relativity and electromagnetism could be used in the space of scattering amplitudes to map an amplitude with external scalar states to an amplitude associated to the scattering of ``infinite spin particles''. The minimal coupling of these particles to the gravitational or Maxwell field is equivalent to the classical coupling of the Kerr black hole with linearized gravity or the so-called $\sqrt{\text{Kerr}}$ charged state with the electromagnetic field. The action of the Newman-Janis symmetry on scattering amplitudes was then used to compute the linear impulse at first post-Minkowskian (1PM) order, via the Kosower, Maybee, O'Connell (KMOC) formalism. In this paper, we continue with the idea of using the Newman-Janis symmetry on the space of scalar QED amplitudes to compute classical observables such as the radiative gauge field and the angular impulse. We show that for tree-level amplitudes, the Newman-Janis symmetry action can be reinterpreted as a dressing of the photon propagator. This turns out to be an efficient way to compute these classical observables. Along the way, we highlight a subtlety that arises in proving the conservation of angular momentum for scalar -$\sqrt{\text{Kerr}}$ scattering. ",https://arxiv.org/abs/2401.15574,0
arXiv:2401.15650 ," Sun, 28 Jan 2024 12:56:03 GMT  (16kb) ", 4+1 D homogeneous anisotropic string cosmological models with dilaton  and anti-symmetric matter ," R. Aslefatollahi, B. Mojaveri, A. Rezaei-Aghdam ", hep-th ," 20 pages, 5 tables ",NA,NA,NA,"   We proceed to investigate exact solutions of homogeneous anisotropic string cosmological models characterized by five-dimensional space-time metrics (with real four-dimensional isometry Lie groups), non-vanishing dilaton and anti-symmetric B field. ",https://arxiv.org/abs/2401.15650,0
arXiv:2401.16143 ," Mon, 29 Jan 2024 13:21:15 GMT  (885kb) ", Effect of a critical magnetic field on the control of scalar neutral  boson pair production in the context of Lorentz-symmetry violation ," Andr\'es G. Jir\'on, Angel E. Obispo, J. Daniel Espinoza Loayza, Juan  Carlos Quispe, Luis B. Castro ", hep-th hep-ph quant-ph ," 07 pages, 06 figures ",NA,NA,NA,"   This study investigates the production of neutral scalar boson pairs in static electromagnetic fields resulting from Lorentz-symmetry violation (LSV), with a focus on the parity-even sector of the CPT-even photon sector in the Standard Model Extension (SME). Utilizing a cross-configuration involving inhomogeneous static electric fields and homogeneous static magnetic fields, the analysis of the probability of bosons pair production identifies three different regimes determined by critical magnetic field. Below the critical value, creation is exponentially suppressed; at the critical value, the number density of created bosons remains constant, and above the critical field, there is exponential amplification. This behavior prompts an additional investigation using von Neumann entanglement entropy to analyze fluctuations in the bosonic vacuum. ",https://arxiv.org/abs/2401.16143,0
arXiv:2401.16248 ," Mon, 29 Jan 2024 15:50:54 GMT  (10800kb) ", Random Geometry and Quantum Spacetime: From scale-invariant random  geometries and asymptotic safety to random hyperbolic surfaces and JT gravity , Alicia Castro , hep-th gr-qc math-ph math.MP ," PhD thesis, 158 pages ",NA,NA,NA,"   This thesis is driven by a central question: ""What can we learn from random geometries about the structure of quantum spacetime?"" In Chapter 2, we provide a partial review of the mathematical foundation of this thesis, random geometry. In Chapter 3, we use a construction coming from random geometry called Mating of Trees to build scale-invariant random geometries that appear in Liouville Quantum Gravity and have the potential to implement the UV fixed point predicted by Asymptotic Safety in two and three dimensions. In Chapter 4 we explore the random geometry formulation of JT gravity and how our understanding of random critical maps yields the discovery of a new family of deformations of JT gravity. Furthermore, the connection between JT gravity and matrix models leads us to delve deeper into the link between discrete geometry and hyperbolic surfaces, building upon the geometry of metric maps and irreducible metric maps in Chapter 5. ",https://arxiv.org/abs/2401.16248,0
arXiv:2401.16283 ," Mon, 29 Jan 2024 16:39:43 GMT  (60kb,D) ", Gravity versus Noncommutative Gauge Theory: A Double Copy Perspective , Richard J. Szabo , hep-th gr-qc math-ph math.MP ," 12 pages; Contribution to the proceedings volume for ""Gravity,  Strings and Fields: A conference in honour of Gordon Semenoff"" ",NA,NA,NA,"   We discuss how Moyal deformations of gauge theories, which arise naturally from open string theory, fit into the paradigm of colour-kinematics duality and the double copy of gauge theory to gravity. Along the way we encounter novel noncommutative scalar field theories with rigid colour symmetry that have no interacting commutative counterparts. These scalar theories offer new perspectives on old ideas that rank one noncommutative gauge theories are gravitational theories. This is rendered explicit in four dimensions where they and their double copy images yield deformations of integrable theories describing the self-dual sectors of Yang-Mills theory and gravity. ",https://arxiv.org/abs/2401.16283,0
arXiv:2401.16306 ," Mon, 29 Jan 2024 17:08:55 GMT  (46kb,D) "," Boundary terms, branes and AdS/BCFT in first-order gravity ", Du\v{s}an {\DJ}or{\dj}evi\'c and Dragoljub Go\v{c}anin , hep-th ," 11 pages, 2 figures ",NA,NA,NA,"   We provide an account of the issue of Gibbons-Hawking-York-like boundary terms for a gravity theory defined on a Riemman-Cartan spacetime. We further discuss different criteria for introducing boundary terms in some familiar first-order gravity theories with both on-shell vanishing and non-vanishing torsion, along with considerations regarding the thermodynamics of black holes and profiles of the End-of-the-World branes. Our analysis confirms the expected geodesic profile of the End-of-the-World brane in the BF formulation of Jackiw-Teitelboim gravity. Finally, we present the first realisation of the AdS/BCFT duality for spacetime with torsion. ",https://arxiv.org/abs/2401.16306,0
