arxiv,date,title,authors,categories,comments,report_no,journal_ref,doi,abstract,link,label
arXiv:2402.01814 ," Fri, 2 Feb 2024 13:57:29 GMT  (1890kb,D) ", Baryon Spin and Emergent Hadron Mass , Peng Cheng , hep-ph hep-ex hep-lat nucl-ex nucl-th ," 146 pages, 18 figures, PhD Thesis ",NA,NA,NA,"   This thesis describes the use of Dyson-Schwinger equations (DSEs) to study baryon bound states in QCD. In this work, octet baryon axial form factors are calculated using a symmetry-preserving treatment of a vector $\times$ vector contact interaction (SCI). The baryons are considered as quark-plus-interacting-diquark bound states, whose structure (wave function) is obtained by solving a Poincar\'e-covariant Faddeev equation. Since it preserves symmetries, all consequences of partial conservation of the axial current are manifest. For instance, one finds that octet baryon axial properties are consistent with only minor violations of SU(3)-flavour symmetry, being interpreted as a dynamical consequence of emergent hadron mass (EHM). Considering neutral axial currents, the SCI delivers predictions for the flavour separation of octet baryon axial charges and, consequently, produces values for the associated SU(3) singlet, triplet, and octet axial charges. The results indicate that, at the hadron scale $\zeta_{\mathcal{H}}$, valence degrees of freedom carry approximately $50\%$ of an octet baryon's total spin. Proton structure is one of the principal topics in hadron physics. Its study is expected to reveal key features of both the origin of mass and strong interaction dynamics. This work therefore extended the above analyses to an examination of in-proton parton helicity (spin) distribution functions (DFs). Using Ans\""atze for hadron-scale proton polarised valence quark DFs, predictions are delivered for all proton polarised DFs at the measurement scale $\zeta_{\rm C}^2 = 3\,$GeV$^2$. The pointwise behaviour of the predicted DFs and, consequently, their moments, shows good agreement with results inferred from data. Based on these results, one finds that experimental measurements of the proton flavour-singlet axial charge should return a value $a_0^{\rm E}(\zeta_{\rm C}) = 0.35(2)$. ",https://arxiv.org/abs/2402.01814,0
arXiv:2402.01836 ," Fri, 2 Feb 2024 19:00:04 GMT  (313kb,D) ", Transverse Momentum Moments ," Oscar del Rio, Alexei Prokudin, Ignazio Scimemi, Alexey Vladimirov ", hep-ph hep-ex hep-th nucl-th ," 24 pages, 6 figures "," IPARCOS-UCM-2024-007, JLAB-THY-24-3989 ",NA,NA,"   We establish robust relations between Transverse Momentum Dependent distributions (TMDs) and collinear distributions. We define weighted integrals of TMDs that we call Transverse Momentum Moments (TMMs) and prove that TMMs are equal to collinear distributions evaluated in some minimal subtraction scheme. The conversion to the $\bar{MS}$-scheme can be done by a calculable factor, which we derive up to three loops for some cases. We discuss in detail the zeroth, the first, and the second TMMs and provide phenomenological results for them based on the current extractions of TMDs. The results of this paper open new avenues for theoretical and phenomenological investigation of the three-dimensional and collinear hadron structures. ",https://arxiv.org/abs/2402.01836,0
arXiv:2402.01839 ," Fri, 2 Feb 2024 19:00:11 GMT  (2295kb,D) ", Indirect Searches for Dark Photon-Photon Tridents in Celestial Objects ," Tim Linden, Thong T. Q. Nguyen, Tim M. P. Tait ", hep-ph astro-ph.CO astro-ph.HE ," 12 pages, 7 figures (8 sub-figures), 3 tables ",NA,NA,NA,"   We model and constrain the unique indirect detection signature produced by dark matter particles that annihilate through a $U(1)$ gauge symmetry into dark photons that subsequently decay into three-photon final states. We focus on scenarios where the dark photon is long-lived, and show that $\gamma$-ray probes of celestial objects can set strong constraints on the dark matter/baryon scattering cross section that in many cases surpass the power of current direct detection constraints, and in some cases even peer into the neutrino fog. ",https://arxiv.org/abs/2402.01839,-1
arXiv:2402.02071 ," Sat, 3 Feb 2024 07:37:10 GMT  (93kb,D) ", Finite modular axion and radiative moduli stabilization ," Tetsutaro Higaki, Junichiro Kawamura and Tatsuo Kobayashi ", hep-ph hep-ex hep-th ," 10 pages, 2 figures "," CTPU-PTC-24-02, EPHOU-24-001 ",NA,NA,"   We propose a simple setup which can stabilize a modulus field of the finite modular symmetry by the Coleman-Weinberg potential. Our scenario leads to a large hierarchy suppressing instanton-like corrections $e^{2\pi i\tau}$ and to a light axion identified as $\mathrm{Re} \tau$, where $\tau$ is the modulus field. This stabilization mechanism provides the axion solution to the strong CP problem. The potential has a minimum at a large $\mathrm{Im}\tau$ which suppresses explicit $U(1)_{\mathrm{PQ}}$ violation terms proportional to $e^{-2\pi {\mathrm{Im}\tau}}$, and hence the quality of the axion is ensured by the residual symmetry associated with the $T$-transformation, $\tau \to \tau +1$, around the fixed point $\tau \sim i\infty$. ",https://arxiv.org/abs/2402.02071,-1
arXiv:2402.02072 ," Sat, 3 Feb 2024 07:39:11 GMT  (585kb,D) ", Searching for singlet vector-like leptons via pair production at ILC ," Chong-Xing Yue, Yue-Qi Wang, Han Wang, Yi-Hang Wang, Si Li ", hep-ph ," 14 pages, 5 figures ",NA,NA,NA,"   Vector-like leptons (VLLs) as one kind of the most intriguing particles, have been widely concerned in several extensions of the Standard Model (SM). In this work, we explore the discovery potential of VLLs via pair production in the context of models that satisfy asymptotic safety at the International Linear Collider (ILC). The expected sensitivities of the ILC with the center of mass energy $\sqrt{s} =$ 1 TeV and the integrated luminosity $\mathcal{L}$ = 1 ab$^{-1}$ to the parameter space of this kind of VLL models are derived. The results we obtained show that, for the VLL with mass $M_F$ in the region of $M_{F}\in$ [101GeV, 463GeV], the Yukawa coupling $\kappa $ can be as low as $\kappa \in$ [0.032, 0.098]. ",https://arxiv.org/abs/2402.02072,0
arXiv:2402.02151 ," Sat, 3 Feb 2024 13:43:55 GMT  (523kb,D) ", The relativistic three-body scattering and the $D^0D^{*+}-D^+D^{*0}$  system , Xu Zhang , hep-ph hep-ex nucl-th ,NA,NA,NA,NA,"   Scattering amplitudes involving three-particle scattering processes are investigated within the isobar approximation which respects constraints from two- and three-body unitarity. The particular system considered is the $D^0D^{*+}-D^+D^{*0}$, where the $D^{*+}$ $(D^{*0})$ enters as a $p$-wave $D^+\pi^0$ or $D^0\pi^+$ ($D^0\pi^0$ or $D^+\pi^-$) resonance. The interaction potentials in the coupled-channel $D^0D^{*+}-D^+D^{*0}$ system contain the $\sigma$, $\rho$, $\omega$ and $\pi$-exchange. The analytic continuation of the amplitudes across the three-body unitary cuts is investigated to search for poles on the unphysical Riemann sheets. Associated with an unstable particle $D^{*+}$ $(D^{*0})$ is a complex two-body unitarity cut, through which one can further analytically continue into another unphysical Riemann sheet. Dynamical singularities emerged from the $\pi$-exchange potential are stressed. The pole generated from the $D^0D^{*+}-D^+D^{*0}$ interaction and its line shape in $D^0D^0\pi^+$ break-up production are in agreement with double-charmed tetraquark $T_{cc}^+$ observed by the LHCb Collaboration. ",https://arxiv.org/abs/2402.02151,0
arXiv:2402.02176 ," Sat, 3 Feb 2024 14:55:30 GMT  (106kb) ", Role of time-varying magnetic field on QGP equation of state ," Yogesh Kumar, Poonam Jain, Pargin Bangotra, Vinod Kumar, D. V. Singh,  S. K. Rajouria ", hep-ph ," 17 pages, 4 figures, accepted in Advances in High Energy Physics ",NA,NA,NA,"   The phase diagram of quantum chromodynamics (QCD) and its associated thermodynamic properties of quark gluon plasma (QGP) are studied in the presence of time dependent magnetic field. The study plays a pivotal role in the field of cosmology, astrophysics, and heavy ion collisions. In order to explore the structure of quark gluon plasma to deal with the dynamics of quarks and gluons, we investigate the equation of state (EoS) not only in the environment of static magnetic field but also in the presence of time-varying magnetic fields. So, for determining the equation of state of QGP at non zero magnetic fields, we revisited our earlier model where the effect of time varying magnetic field was not taken into consideration. Using the phenomenological model, some appealing features are noticed depending upon the three different scales; effective mass of quark, temperature, and time independent as well as time-dependent magnetic field. Earlier the effective mass of quark was incorporated in our calculations and in the current work, it is modified for static and time-varying magnetic fields. Thermodynamic observables including pressure, energy density, entropy, etc. are calculated for a wide range of temperature and time- dependent as well as time-independent magnetic fields. Finally, we claim that the EoS are highly affected in the presence of a magnetic field. Our results are notable compared to other approaches and found to be advantageous for the measurement of QGP equation of state. These crucial findings with and without time-varying magnetic field could have phenomenological implications in various sectors of high energy physics. ",https://arxiv.org/abs/2402.02176,0
arXiv:2402.02267 ," Sat, 3 Feb 2024 21:29:28 GMT  (640kb,D) ", Perturbative QCD contribution to transverse single spin asymmetries in  Drell-Yan and SIDIS ," Sanjin Beni\'c, Yoshitaka Hatta, Abhiram Kaushik and Hsiang-nan Li ", hep-ph ," 35 pages, 10 figures ", ZTF-EP-24-01 ,NA,NA,"   In a previous publication [Beni\' c et al., Phys. Rev. D104 (2021) 094027], we have computed the perturbative QCD contribution to transverse single spin asymmetries (SSAs) in semi-inclusive Deep Inelastic Scattering (SIDIS) involving the $g_T(x)$ distribution. In this paper, we first present a more efficient derivation of the asymmetries which is applicable to both transverse and longitudinal SSAs, and correct some inconsistencies in our previous calculation. We then adapt the method to compute transverse SSAs in Drell-Yan proportional to $g_T(x)$ and its gluonic counterpart, and discuss the crossing symmetry between the results for SIDIS and Drell-Yan. Finally, we present numerical results for various asymmetries measurable at the EIC, RHIC, COMPASS and Fermilab (SpinQuest), including also part of the genuine twist-three corrections to $g_T(x)$ from a recent global analysis. We find that the asymmetries can reach percent-level magnitude, if the kinematics predominantly probes the large-$x$ (valence) region of the polarized proton, but remain at sub-percent levels otherwise. ",https://arxiv.org/abs/2402.02267,0
arXiv:2402.02363 ," Sun, 4 Feb 2024 06:14:50 GMT  (96kb) ", Revisiting the top-quark pair production at future $e^+e^-$ colliders ," Jin Ma, Sheng-Quan Wang, Ting Sun, Jian-Ming Shen, Xing-Gang Wu ", hep-ph ," 8 pages, 3 figures. Accepted by Chinese Physics C ",NA,NA, 10.1088/1674-1137/ad243e ,"   In this paper, we reanalyze the top-quark pair production at the next-to-next-to-leading order (NNLO) in QCD at future $e^+e^-$ colliders by using the Principle of Maximum Conformality (PMC) method. The PMC renormalization scales in $\alpha_s$ are determined by absorbing the non-conformal $\beta$ terms by recursively using the Renormalization Group Equation (RGE). Unlike the conventional scale-setting method of fixing the scale at the center-of-mass energy $\mu_r=\sqrt{s}$, the determined PMC scale $Q_\star$ is far smaller than the $\sqrt{s}$ and increases with the $\sqrt{s}$, yielding the correct physical behavior for the top-quark pair production process. Moreover, the convergence of the pQCD series for the top-quark pair production is greatly improved due to the elimination of the renormalon divergence. For a typical collision energy of $\sqrt{s}=500$ GeV, the PMC scale is $Q_\star=107$ GeV; the QCD correction factor $K$ for conventional results is $K\sim1+0.1244^{+0.0102+0.0012}_{-0.0087-0.0011}+0.0184^{-0.0086+0.0002}_{+0.0061-0.0003}$, where the first error is caused by varying the scale $\mu_r\in[\sqrt{s}/2, 2\sqrt{s}]$ and the second error is from the top-quark mass $\Delta{m_t}=\pm0.7$ GeV. After applying the PMC, the renormalization scale uncertainty is eliminated and the QCD correction factor $K$ is improved to $K\sim 1+0.1507^{+0.0015}_{-0.0015}-0.0057^{+0.0001}_{-0.0000}$, where the error is from the top-quark mass $\Delta{m_t}=\pm0.7$ GeV. The PMC improved predictions for the top-quark pair production are helpful for detailed studies of properties of the top-quark at future $e^+e^-$ colliders. ",https://arxiv.org/abs/2402.02363,1
arXiv:2402.02371 ," Sun, 4 Feb 2024 07:00:27 GMT  (94kb,D) ", The gauge coupling unification in Grand Unified Theories based on the  group $E_8$ , Konstantin Stepanyantz , hep-ph hep-th ," 26 pages, 1 figure, to appear in Proceedings of the 26th Bled  Workshop ""What Comes Beyond Standard Models"" ",NA,NA,NA,"   We consider a theory with the gauge group $E_8$ assuming that the gauge symmetry breaking pattern is $E_8 \to E_7 \times U_1 \to E_6 \times U_1 \to SO_{10} \times U_1 \to SU_5 \times U_1 \to SU_3 \times SU_2 \times U_1$ and vacuum expectation values are acquired only by components of the representations 248. It is demonstrated that in this case there are several options for the relations between the gauge couplings of the resulting theory, but only one of them gives $\alpha_3 = \alpha_2$ and $\sin^2\theta_W = 3/8$. Also, it is the only option for which the resulting theory can include all MSSM superfields. ",https://arxiv.org/abs/2402.02371,0
